单词	发音	词性 中文释义	英文释义: 示例短语	补充内容	笔记
a	/eɪ/	det. 一个	one: a book		
an	/æn/	det. 一个	one: an apple	【备注】用在元音字母前【联想】变体 a 一个	
a.m.	/ˌeɪˈem/	ad. 上午	before noon: at 9 a.m.		
a·ban·don	/əˈbændən/	vt. 抛弃	give up: abandon hope	【同】leave, give up【词根】a- 'to' + bandon 'control'	
a·bil·i·ty	/əˈbɪləti/	n. 能力	capability: writing ability	【词组】have the ability to【联想】able 的名词形式 ability 能力【词根】abil 'able' + -ity	
a·ble	/ˈeɪbəl/	a. 能够	can: able to swim	【词组】 be able to do 【联想】ability 能力【词根】abil 'able'	
ab·norm·al	/æbˈnɔːməl/	a. 反常的	not normal: abnormal behavior	【同】UNUSUAL, uncommon, atypical, untypical 【反】normal【词根】ab- 'away from' + norm 'rule' + -al	
a·board	/əˈbɔːd/	ad. 在船/车/飞机上	on board: go aboard the ship	【联想】board 上船/飞机	
a·bol·ish	/əˈbɒlɪʃ/	vt. 废除	end: abolish slavery	【同】PUT AN END TO, get rid of, scrap, end, stop, terminate, axe, eradicate, eliminate, exterminate, destroy, annihilate, stamp out, obliterate, wipe out, extinguish, quash, expunge, extirpate 【联想】abolition 废除【词根】ab- 'away' + ol 'grow' + -ish	
a·bor·tion	/əˈbɔːʃən/	n. 人工流产	termination of pregnancy: consider abortion	【联想】abort 中止【词根】ab- 'away' + ort 'be born' + -ion	
a·bout	/əˈbaʊt/	prep. 关于 ad. 大约	regarding: talk about it	【同】REGARDING, concerning; APPROXIMATELY, roughly, around	
a·bove	/əˈbʌv/	prep. 在上面	over: above the table	【同】over	
a·broad	/əˈbrɔːd/	ad. 在国外	overseas: travel abroad	【联想】broad 宽广；board 板	
a·brupt	/əˈbrʌpt/	a. 突然的	sudden: abrupt stop	【同】sudden【词根】ab- 'away' + rupt 'break'	
ab·sence	/ˈæbsəns/	n. 缺席	not present: in absence of	【同】lack 【反】presence 【联想】absent 缺席的【词根】ab- 'away' + s 'be' + -ence	
ab·sent	/ˈæbsənt/	a. 缺席的	not present, away: absent from class	【同】away 【反】present 【联想】absence 缺席【词根】ab- 'away' + s 'be' + -ent	
ab·so·lute	/ˈæbsəluːt/	a. 绝对的	total: absolute truth	【词根】ab- 'away' + solu 'loosen' + -te	
ab·sorb	/əbˈzɔːb/	vt. 吸收	take in: absorb knowledge	【词根】ab- 'away' + sorb 'suck in'【联想】absorption 吸收	
ab·stract	/ˈæbstrækt/	a. 抽象的	not concrete: abstract concept	【词根】abs- 'away' + tract 'draw'【同】not concrete, theoretical 【联想】词根 tract 拉	
ab·surd	/əbˈsɜːd/	a. 荒谬的	ridiculous: absurd idea	【同】ridiculous【词根】ab- 'away' + surd 'deaf'	
a·bun·dant	/əˈbʌndənt/	a. 丰富的	plentiful: abundant resources	【同】enough【词根】abund 'overflowing' + -ant【联想】abundance 丰富	
a·buse	/əˈbjuːz/	vt. 滥用	misuse: abuse power	【联想】词根 use 用【词根】ab- 'away' + use 'use'	
ac·a·dem·ic	/ˌækəˈdemɪk/	a. 学术的	scholarly: academic research	【联想】academy 学院	
a·cad·e·my	/əˈkædəmi/	n. 学院	specialized school: science academy	【同】specialized school 【联想】academic 学术的	
ac·cel·e·rate	/əkˈseləreɪt/	v. 加速	speed up: accelerate speed	【词根】ac- 'to' + celer 'swift' + -ate【联想】反义 decelerate 减速	
ac·cent	/ˈæksənt/	n. 口音	speech: local accent		
ac·cept	/əkˈsept/	vt. 接受	take: accept an invitation	【反】refuse, reject 【联想】acceptance 接受；形近 except 除…外【词根】ac- 'to' + cept 'take'【辨析】receive 收到(客观)；accept 接受(主观)	
ac·cess	/ˈækses/	n. 通道，入径	entry: access to the internet	【同】entrance 【联想】accessible 可到达的；形近 assess 评估【词根】ac- 'to' + cess 'go'	
ac·ces·si·ble	/əkˈsesəbəl/	a. 可到达的	reachable: easily accessible	【同】REACHABLE, attainable 【联想】access 通道【词根】ac- 'to' + cess 'go' + -ible	
ac·ces·so·ry	/əkˈsesəri/	n. 附件；附属品	extra: car accessory	【同】ATTACHMENT	
ac·ci·dent	/ˈæksɪdənt/	n. 事故	crash: traffic accident	【联想】accidental 偶然的【词根】ac- 'to' + cid 'fall' + -ent	
ac·com·mo·da·tion	/əˌkɒməˈdeɪʃən/	n. 住宿	housing: find accommodation	【词根】ac- 'to' + com- 'together' + mod 'manner' + -ation【同】housing, lodging 【联想】accommodate 容纳	
ac·com·pa·ny	/əˈkʌmpəni/	vt. 陪伴	go with: accompany a friend	【同】go with 【联想】company 公司，companion 伴侣【词根】ac- 'to' + company 'companion'	
ac·com·plish	/əˈkʌmplɪʃ/	vt. 完成	finish: accomplish a task	【同】achieve, complete 【联想】accomplishment 成就【词根】ac- 'to' + com- 'together' + pl 'fill' + -ish	
ac·count	/əˈkaʊnt/	n. 账户，记述 v. 说明；占	record: bank account	【词组】account for【联想】accountant 会计【词根】ac- 'to' + count 'count'	
ac·coun·tant	/əˈkaʊntənt/	n. 会计	bookkeeper: hire an accountant	【联想】account 账户【词根】ac- 'to' + count 'count' + -ant	
ac·cu·mu·late	/əˈkjuːmjəleɪt/	v. 积累	gather: accumulate wealth	【同】GATHER, collect。【词根】ac- 'to' + cumul 'heap' + -ate【联想】accumulation 积累	
ac·cu·ra·cy	/ˈækjərəsi/	n. 准确性	precision: measurement accuracy	【联想】accurate 准确的【词根】ac- 'to' + cur 'care' + -acy	
ac·cu·rate	/ˈækjərət/	a. 准确的	correct: accurate prediction	【同】CORRECT, precise, exact, right。【词根】ac- 'to' + cur 'care' + -ate【联想】accuracy 准确性	
ac·cuse	/əˈkjuːz/	vt. 指控	blame: accuse someone of stealing	【词组】accuse someone of【例句】The manager of the shop accused her of stealing.【联想】accusation 指控【词根】ac- 'to' + cuse 'cause'	
ac·cus·tom	/əˈkʌstəm/	vt. 使习惯	get used: accustom oneself to	【词组】be accustomed to 【同】be used to 【联想】custom 习惯；usual 通常的【词根】ac- 'to' + custom 'habit'	
ac·cus·tomed	/əˈkʌstəmd/	a. 习惯的	used to: be accustomed to cold	【联想】accustom 使习惯；custom 习惯【词根】ac- 'to' + custom 'habit' + -ed	
ache	/eɪk/	n. 疼痛	hurt: head ache	【同】pain 【联想】headache 头痛，toothache 牙痛【词根】ach 'pain'【辨析】pain 疼痛(泛指)；ache 隐痛(headache)	
a·chieve	/əˈtʃiːv/	vt. 达到	attain: achieve a goal	【同】ATTAIN, reach, arrive at, realize, bring off/about, pull off, accomplish, carry out/through, fulfil. Our local team achieved another win last weekend 【联想】achievement 成就【词根】a- 'to' + chieve 'head'	
a·chieve·ment	/əˈtʃiːvmənt/	n. 成就	success: great achievement	【联想】achieve 达到【词根】a- 'to' + chieve 'head' + -ment	
ac·id	/ˈæsɪd/	n. 酸	sour: strong acid	【同】sour	
ac·knowl·edge	/əkˈnɒlɪdʒ/	vt. 承认	admit: acknowledge the fact	【同】ADMIT, accept, grant, allow, concede, confess, own, recognize【反】reject, deny, ignore。【词根】ac- 'to' + knowledge 'knowledge'【联想】knowledge 知识；acknowledgement 承认	
ac·quaint·ance	/əˈkweɪntəns/	n. 熟人	contact: make an acquaintance	【同】friend 【联想】acquaint 使熟悉	
ac·quire	/əˈkwaɪər/	vt. 获得	get: acquire a skill	【同】get, buy【词根】ac- 'to' + quire 'seek'【联想】acquisition 获取	
ac·qui·si·tion	/ˌækwɪˈzɪʃən/	n. 获取	acquiring: new acquisition	【同】acquiring, getting 【联想】acquire 获得【词根】ac- 'to' + quisit 'seek' + -ion	
a·cre	/ˈeɪkər/	n. 英亩	land measure: a few acres		
a·cross	/əˈkrɒs/	prep. 横穿	cross: go across the road	【例句】A boy suddenly ran across the road. 【联想】cross 十字架	
act	/ækt/	vi. 行动	take action: act quickly	【例句】When someone has a heart attack, you need to act quickly.【联想】action 行动，active 积极的，actor 演员，activity 活动【词根】act 'do'	
ac·tion	/ˈækʃən/	n. 行动	act: take action	【同】deed 【反】inaction 【联想】act 行动【词根】act 'do' + -ion	
ac·tive	/ˈæktɪv/	a. 积极的	proactive: active participation	【反】passive 【联想】activity 活动；act 行动【词根】act 'do' + -ive	
ac·tiv·i·ty	/ækˈtɪvəti/	n. 活动	event: outdoor activity	【联想】active 积极的【词根】act 'do' + -ivity	
ac·tor	/ˈæktər/	n. 男演员	performer: famous actor	【联想】actress 女演员【词根】act 'do' + -or	
ac·tress	/ˈæktrəs/	n. 女演员	performer: popular actress	【联想】actor 男演员【词根】act 'do' + -ress	
ac·tu·al	/ˈæktʃuəl/	a. 实际的	real: actual situation	【同】real 【联想】actually 实际上【词根】act 'do' + -ual	
ac·tu·al·ly	/ˈæktʃuəli/	ad. 实际上	really, in fact: actually true	【同】really, in fact. Do you actually believe that? 【联想】actual 实际的【词根】act 'do' + -ually	
a·cute	/əˈkjuːt/	a. 急性的	severe: acute pain	【同】serious, bad【词根】acu 'sharp' + -te	
ad	/æd/	n. 广告	promotion: put an ad in the newspaper	【备注】advertisement 的缩写【联想】全写 advertisement 广告	
